text,sentiment
sad greg pritchard didnt make final britains got talent coz soooo deserved,negative
one favorite musiciansartists ever please keep great work john,positive
totally ive waitin somethin new thought provoking mjname,positive
baby man years old week today hes growing fast,positive
school like one thats vacation,neutral
u smell goodness around energy big city pinch butt feel real yes u chicago,positive
good morning good old germany wan na say hello new york im love really,positive
twitter driving nutswont let download profile pic guess ill keep trying,neutral
glad cos u wouldnt lose fan anyway get see guys saturday evening leicester better good,positive
playing mybrute follow httpyhanamybrutecom,neutral
cats gone,neutral
yeah im getting ready go get pizza nothing maybe _gnt want play xbox,positive
ouchwaited long get eyebrows waxed,negative
starving alyssas mom would bring subway,neutral
byebye,neutral
definitely worth art withstanding hate moving hate packing even,negative
ever seem listen dirty days cds still gregs parents,negative
work missing sunshine,negative
nobody early,positive
sad dad dies hakuna matana means worries,negative
congratulations,neutral
dog sick love little doggie hes usually keen happy doesnt even want go run forest today,positive
_hearts heygot text cannae hen family comin ive got nae money come livi anyway xxxx,neutral
im sorry little disturbance sapinsidetrack palo alto went debugging session lines unmuted,negative
ah gdit ranger game afternoon,negative
sooo confused days glad back lillestrøøωm,positive
thankfully still,neutral
_kinda_guy kids growing around science guys grew around politics,neutral
postieeee httpandshehopesblogspotcomkewpiehtml,neutral
woke cat face haha,positive
loves first monday may bank holiday httpplurkcomproxar,positive
cool looking forward san francisco really nice didnt make napa though maybe next time,positive
im,neutral
dios acaban de tocar pains pure heart en el primavera sound life fair,positive
oh ive watched third episode jonas awesome,positive
thanks yes lot,positive
enough today good night,positive
yoko ono ben lee httplalacomzad easy,positive
little bit drink isnt actually strong anymore,positive
party wiped dead stuff,negative
mouth hurts stupid retainer,negative
gutted playing kos july jules,neutral
ushers guys made mothers day really awesome today thanks coming early prep surprise gifts moms,positive
password san diego show mine working,neutral
im sorry want call aim couple hours need vent,negative
im going try get sleeeeeeep goonight twitter nice mothers day,positive
want go sixth period,neutral
claude debussy homeboy,neutral
yay train late starts mins late arriving london first place,negative
_nye quiet lately,negative
saying goodbye papa,neutral
industrial repierced made cute little friend,positive
got firefox working get back bookmarks,neutral
says gots mom digital picture frame bout scan pics wedding n mushy stuff httpplurkcompsueq,neutral
friend someone help move real friend someone help move body,positive
sounders game tomorrow mothers day,negative
wassup beautiful follow peep new hit singles wwwmyspacecomipsohot def wat u video,positive
honza takes flight back czech republic morning im really going miss,positive
omg thats awesome first time ever im seeing day comes demi taking day haha,positive
bruised toe worse finger hurts right even ice,negative
chocolate peanut butter one favorite combonations,positive
guys stupid idea good girl actually cares themso sad,negative
saying past weeks miss playing spades drinkin chillin good old days let know baby,positive
never knew dentention hard get,negative
girls still im tired,negative
happy mothers day gr day,positive
interview leave alone,neutral
editing something photoshoot niley,neutral
addin last comment spose going see jonas brothers movie guess couldnt go aswell cos im sick,negative
surprisingly liked star trek contrary theory star wars fans anti trekkies,positive
exhaustedcant sleep dont like nights,neutral
missing bffls missing friday night dates hot dogs dinner knows evening holds,negative
bored skull got get job sucks need entertainment grumbles,negative
hello thank followfridays people always forget sorry,negative
seriously neeed study,negative
almost past time go bed,negative
google chrome forgot everything looks like reason,neutral
thank isay kamusta ang bulacan historical gimmick ang gilmore shopping trip,neutral
house hunting next year fun,negative
ever seen tv show dead like died became grim reaper taking peoples souls accidents,negative
okay feel really sick,negative
busy ugh largest headache,positive
hi joined twitter,neutral
im wide awake,negative
back lancaster bored already cant wait start work missing hel,negative
watching britains got talent biting nails please dont come black nail varnish,negative
freeagentapp free trial ran today subscribe abby accidentally canceled card still waiting new one,positive
hahahahayeah mess crossing kneeling bit get called outjoking,negative
_hammond way home night london lovely working weekend monday weathers nice x,positive
im homeon friday night good,positive
btw happy star wars day may fourth roflmaoyes know im total dork,positive
tried dm following us,neutral
ikr mom got birthday years ago tis best,positive
oh manmy fiance got work start mine hourso fair,negative
ofcourse wait last minute run experiment workthat supervise aka dont get leave work time,neutral
im genius put rug washing machine left folding door half open machine moved door wont close open shaking head,negative
_x butbutbuttt replied loads,neutral
im awake cant sleep bc im feeling sick yuck,negative
tired today think gon na take nap friends come tonighti miss wish restriction already,negative
may telling cos never replies,neutral
dj little tune want wwwsoompiradiocom,negative
like minds evening dear,neutral
completing facebook quizzes time morning especially friday morning,neutral
_shines aww sucks,neutral
ive late week watching jay leno tonight last show hell move pm sure material bsame,negative
starting feel really old,positive
try pretty hard engage everyone follow lack interesting say end unfollowed,positive
feeling good win nice softball champs bring season,positive
hahahaha laughed thanks,positive
still finishing errands trip tomorrow morning airport,neutral
ashotn looks great look fantastic always two still newlywed glow thats forever true love,positive
disliking rumor cyndi made look like didnt like,neutral
eggs today shame looking forward egg bacon sandwich,neutral
bye twitter fb world im san francisco airport ready board air china sure ill internet access,negative
cant vote u mtv movie awards vote button cause live sweden wan na vote u u rock xo,positive
math class waiting lunchhhhhhhh seniors done fifteen minutes,neutral
dont think coffee work agreed tummy,neutral
new article finding youtube channel stats google analytics account cant find,positive
make fun,positive
got home errrr vluna hospital far,positive
watching slice life laughing songgg going sleep,neutral
agrees,neutral
ps rainging,neutral
wah sad,negative
work got ta go bed soon,neutral
wont work,neutral
missed todayi know must feel tired give massage tonight,negative
fought printerafter hours claim victory hate electronics,negative
httptwitpiccomwsjr leisure bay beach see pic wasnt uploaded last time grrr,negative
isss boredddd got ta morningg,neutral
_brown theres holy version hell loli cant stop need trending topic nice whispering redmangolol,positive
finally home fed ready go bed thats got ta record,positive
tried listenin music half hour tried readin really boring bookstill wide awake,negative
upset see carys donna go today miss hugely already yes ok like hours haaawaaaah,positive
ok brotherdid change num give smhyou good dude,negative
relaxing busy week tedious saturday,negative
research couldnt find specific thing wan na drives autorun,neutral
ha knowim ashamed,positive
aww minutes left family guy,positive
yeah didnt buy one hot minute,positive
looks like im tea duty day,neutral
always feel guilty,negative
aaaaaaaaaaa mcfly,neutral
home invaders taken base,negative
leopold says hello,neutral
plans people cancellednow,neutral
missed todayi know must feel tired give massage tonight,negative
dammit passes still work,neutral
think rain killed phone,negative
hate headrush,negative
lol trying take old man eh good hehehe cute,positive
oh yeaah well still bffs aha _marie,neutral
even saw news feeds archie website cant believe hed choose veronica im disappointed,negative
eeee hiya havent spoken ages enormous hug,neutral
remember evidence based management lecturesdefinitely best ebm,positive
wow thought wed gaming hours hours later seeing last person _ long session fun,positive
need sumthing excruciating headache,neutral
lady clean im going calexico moment much things today wan na go watch hanna montana movie,positive
im hurtling headlong day spanish art view tomorrow revision extra frees,neutral
still sick sigh,negative
pic promised httptwitpiccomwqy,neutral
ah good glad useful,positive
miss youuu wish dodging semis,neutral
hasnt time go twitter since working full time,positive
sorry hear carol,negative
agree w u,neutral
go malibu find beach,neutral
melissa celebrities,neutral
think modem failedhaving pc withdrawals,neutral
expect one man band released sometime next week,neutral
_com thanks,positive
got home dinner really really full mom said dad bought sony ak holyyyyyyy,positive
breakim tired,negative
oh need stop could use ego boost,neutral
tired climb bed fall asleep hope weekend fun couple weeks left,negative
dye hair nails,neutral
hope find nice healthy also cheap breakfast,positive
dougie coffee theres coffee hahaha name comes predicted text pretty awesome,positive
making life wo bounds tshirt second life,neutral
eating lunch sushi tei sency yum met ghina earlier,neutral
sitting mrs martins class youtube stupid really want popsicle jealous sara,negative
saw ghost girlfriends past actually really cute total chick flick mattew mcconaughey smexy,positive
stable faster x working,neutral
companies make bag sealers go business,neutral
promise,neutral
hate hair long think want super looong hair,negative
thank appreciate,neutral
tweet tweets,neutral
good morning twitter worldraining dingle hopefully means busy day,positive
little ones cast taking beating starting show wear tear less week active,negative
hearing surprising news bestfriendwhere sis tell whole story,positive
gooooooooood im complete nut case,negative
fml today sucks hope dance bring soul pray im still sadi hateee todayyyyyy,negative
aw gutted,neutral
thanks good morning,positive
im ditchin im barfin sorry guys esotsm,negative
long goin sprints,negative
soupysoup time today heinz cream chicken mushroom yum bbl,negative
wishes moms happy blessed mothers day,positive
daddy wanted buy shoes prettie esspensive nao haff go bearfoot,neutral
thats lot messages sweet yeah sayang,positive
im craving cinnamon toast crunch cold today,negative
todays aba full emotional tears asd autism days harder others hard intervene poor baby,negative
main event happened yet well far,positive
httptinyurlcomrywap hi pretty man cant upload pics reason wrote wish find women,positive
whats,neutral
congrats hey,neutral
heyy dude yuup thats really hows monday x,positive
mean set start using jump use sign whatever word want use,negative
allowed call live uk parents say cost much sucks,negative
congrats graduates beautiful thing big deal jus wish cudve attended lil man ryan kdg graduation feel sad,positive
internet stopped working right middle quantum leap grr,negative
join club dougie cold x,negative
knees sore physio,neutral
presentations finished busted ankle stupido models broke catwalk twice fell hole beautiful bottle green mary janes,positive
im going ask waldi hope makes new keyword,positive
ugh got work think im dang taxi ppl cant say well fault,neutral
tired want play random songs gitwar drama essay,negative
httptwitpiccom sniff feel left grin,neutral
bet,neutral
theyre bottom thing arent moving feels bad man,negative
_s accept cant anything,neutral
keep long people ffwd like aac w chapter markers,negative
pm early dats pm time,positive
yes cathy ordinarily dont much problem naked girls chasing however,negative
always wake one minute alarm scheduled go,neutral
_lia drugs working,neutral
yes hate itsilly boys,negative
weekend standby duty,neutral
agree,neutral
welcome twitter really cool greetings viennaaustria,positive
missing morning work cause bench press back jakarta goodluck diga test easy peasy hehehe,positive
oh man better something fix ugh stupid verizon,negative
hey u feeling know charla hit see places gotoo young fun,positive
hey wont coming town weekend dont day next friday,neutral
got back gym wan na chat new people lets talk haha,positive
chabibi long running joke dont give flying anyone follows,negative
av ad realy gd day wiv ciara connolly park gate west kirby new brighton fukin funny bt sunburnt luks like drivers arm,positive
im fighting feeling sick hoping tired im really feeling well though,negative
oh makes sense well officially first celebrity,positive
twitter wont let update online update box wont work,neutral
adam samberg new moon trailor good evening bad cable friday,positive
n still dothis job dead right,positive
work six,neutral
son one thats really nice know really good three dh late today,positive
bed church morning happy mothers day,positive
im getting back,neutral
need hug im junior cert week im totally stressed,neutral
oh mint lounge awesome night,neutral
carry childhood never become olda sutzkever,neutral
could tell gon na angry day,negative
feels disappointedmahirap talaga magsupervise ng tao httpplurkcompwxqwa,neutral
congratulations,neutral
eating nothing drinking water watch movie join,neutral
nw macedonia rainy days row,negative
_hypnotic oh thanx thought ilost iappreciate,neutral
hulu germany sucks,negative
actually use standard speaker wire standard terminals soldering involved anything,neutral
hate going work nights im micro least get work,negative
need get tickets though idk gon na happen,neutral
awesome effort weeven u didnt wingood luck tassie,positive
_morgan_ r love want share wish id made,positive
httptwitpiccomwrk ashley tisdale love shades girl,positive
allegra flonase steroid inhaler rest allergy season throat still hurts asthma,neutral
best night ive,positive
yum chocolate sorbet barely even shared httptwitpiccomazl,positive
looks much better short hair,positive
going help lancey cook,neutral
tamlyn wishes cool sock draw,positive
painting hard work tired satisfying see gods house getting prettier like yellow tims room,negative
finished weeding flower bed weeds grow well legitimate plants hate,negative
take somei tiny,neutral
pundits paid forhow tv channels websites run otherwise,neutral
hmmmstrained back hope better tomorrow morning,positive
nothing yet,neutral
happy mothers day take ur mothers special place,positive
lol hi emmy latin would help study aptitude tests get grad school thats wan na take,positive
im feeling frustratedi cant get things work,neutral
exactly weeks left sigma,positive
good morning wants breakfast,positive
ready,positive
like mine green somehow doesnt taste minty otherwise heh heh,negative
youtube loves hd videos well maybe,positive
making video hitrecord hope comes well itll first record,positive
first impression silverlight sadly based saw today quite problematic,negative
true u downloaded tweetdeck yet literally amazing,positive
guess ill never sad thing u didnt put alternate email cause u dont remember ur secret,negative
delicious sushi niko niko vermont hollywood mm,positive
yeah suspicion think im going come home want spend ton money tools,neutral
sociology done english biology left im going die,neutral
sold hit cash took tax tips drawer ended dollars short idk cause,neutral
decide time something devil always counteract frustrating discouraging,negative
back home tallcree rez cant see boyfriend,neutral
nooo font connoisseur totally relate dude heart goes,neutral
dont mind kent best friend going im going miss,positive
theres filmtv jobs especially wmids cant afford move away yet sorry missed,negative
sorry found members preview sold awhile opens noon general public,negative
ive normal ppl consider night problem going sleep nightmares waking,positive
messed hope day gets better,positive
good morning tis rainy monday morningblahhh,positive
happy mothers day mum love lots month days go month go bby love bash,positive
cant grandma probably phone get aim,neutral
,neutral
haha im work cant read anything,positive
nice clean,positive
drove fisher feel sad,negative
bad mood annoying sunny,negative
saturday worst saturday ive ages,negative
lbs still huge achievement though,positive
ugh hours,positive
wasting deodorant aint goin aint havin company let funk ya,neutral
played ball park coached youngster fundamentals goin home steak lobster word,neutral
know would make really tired put sleep would sleep good rice lmao,positive
hahaha ok hire mom paiseh haha shall washing,positive
mon ami since years young loveeee foreverrr,positive
forgot set itunes display play count last night didnt understand taylor swift front belinda haha,positive
loll im college girlbahahah love blogs theyre funny,positive
ive got really bad arthritus left hand cant use thumb,negative
ive burnt collerbone arms face aww,positive
wan na know whats worse coworker brewed fresh cup coffee think bacon,negative
happy birthday didnt get anything best wishes,positive
got home drews bday,neutral
tired didnt really exciting saturday oh well hope better tomorrow,positive
thanx bday wishes ray,neutral
dont wan na work tonight,neutral
watched mall cop wasnt funny wasnt bad guess kinda wish still worked movie theater,negative
done run km hmn bpm feeling great fatigue speed,positive
clever girl,positive
want face somatic drawing david lanham want leopard theme somatic theme im sadim big fan,neutral
free fillin app ipod fun im addicted,positive
good rachel nowt,positive
oh dear u serious one prevent bites im itchy distracting editing sigh,negative
thats one reasons thought kid nah lets get piano instead poor buggers,negative
long hold wine without tipping,negative
im going bed dnt feel well always,neutral
thanks neemah im gon na soooo close izzy yet far,positive
tweet tweets,neutral
sad day christian lacroix file bankruptcy,negative
hello bank holiday monday hello revision øøωøøω,neutral
last heroes ep sept sick drugged past days dr says lacking everything esp get sunshine,negative
chris baby born today,neutral
_toki_ wee girl started crying mum came shame,negative
u go profile ill help u cause ur right next,negative
got wheres sun,neutral
want go know feeling im ready head back mountains wont go back till july,positive
omg sorry sorry never know say,negative
thanks elephants look magnificent miss due stupid restrictions g pleease cheap,positive
aww lovely pic,positive
thats whats hah im great thanks waiting craziness take,positive
omg poor eppy hope ok scary wow cant believe one noticed,negative
miss dear,neutral
lalalaland liking song much anyhoo grr cold thank goodness though sore throat gone,negative
arrive tomorrow morning early,positive
congratulations manny pacman pacquiao youve made every filipino proud filipino,positive
full thanks food jean brought half watermelon eat freeway crash die,positive
episode amazingi cried saw home videos soooooo cute,positive
dont think im feeling well sudden im tired scared fall asleep cuz know wake sick,negative
moooooooooooooooo lol copied lastfm thing looks good,positive
staying school today,neutral
think irish population manchester come house today yet none person want see,neutral
hasnt shipped yet wont get least ill call,negative
wont two blocks away,positive
hey ian may din ako maybe well see cuz diff schools tayo hahaha la lang p,positive
today dan bought bio dome reality bites soundtrack needless say gets mayjah points also tummy happy boo,negative
thanks kate kisses xoxo,positive
yea awwww sweet u r good kids,positive
trying get swimmers ear go away,neutral
heart isnt cold im still missing,negative
mr amp heated,neutral
starting get annoyed socialscope need update,negative
long day office tiring week,negative
sciifi effects definitely look silly doubt worth watch inspite,negative
gah forgot separate bins maybe bad idea,negative
heyy deleted myspace account cause link side bar wont work says deleted wb ily,neutral
software use design sites im cs student currently hard code everything fastest way,negative
would like remind people kansai scene whatever current issue like nothing,neutral
youre fantastic actor time got recognition,positive
thats depressing,negative
omg wtf site following,negative
freddies cotch ladyhawke missing bajan beauty,negative
_aislinntighee bhaha teenage nightclub home im supposed license touch,negative
yay get ride tow truck cool,positive
ta much happy bday gson,positive
hugs im sorry anything,negative
dont understand sensexbut wow,positive
like himym,neutral
parents sold car,neutral
holy sharapova taking beating unseeded qualifierok back doubles,neutral
starts briefing people east coast thats,neutral
boiling office air con,neutral
stupid liars glad ignorant blast,negative
equations graphs,neutral
httptwitpiccomwhe pretty flowers john mains brought ladies nite,positive
thnx babe call u finish,neutral
special chocr makin rounds gourds show,positive
thats crazy would anyone follow tweets much fun,negative
textmate crashed first time months bad actually textmate,negative
ouch cant even look one knowing exists enough,neutral
wonderful weekend love family friends awesome happy mothers day mommies,positive
really tired jake always gives work,positive
flip flop brokewalking downtown seattle,neutral
hugs back,neutral
httpnaturalismofileswordpresscomelliottjpg hero,neutral
long frisbee golfer accidentally catches one back head friend,negative
sure good bad news listed staff httpwwwthesixthaxiscomstaff,negative
get fired hugs,neutral
yes actually jam twitter traffic yesterday happen dont worry,neutral
learn lot another person dont try better oneself love happiness goodnight,positive
shall annoyingly tweet tomorrow,negative
wishing babe wed ball,neutral
know falls right pm time like right middle day,positive
dont know made lose,neutral
sorry guys drop trip personal commitments,negative
finally able get flight control ipod best game app choppers lol,positive
going paris,neutral
chilling home,negative
nobobys behind think lead far,negative
_sockso_o im sorry shannon,negative
dad bury six weeks ago became left college fourteen years ago long time kitty,negative
voting hope voting white blank name mr twitter funniset,neutral
soaked rain seconds wasnt even hiking miles miles rain like last weekend,neutral
month ahaha dunno go tomorrow lmao cause went today freakin filipino parents aha,positive
still awake smh sucks,negative
packing cleaning getting done last day apartment time tomorrow storage,positive
told u tried said late cause girl took ever get ready wanted meet,negative
ha english portfolio finally finshed annnd comm final youre half done whoa time sleeps night,negative
know stink birthdays sorry bra hope youre fun anyhow spite,negative
still pool key wth even hot today,positive
shes gone miss kay way already,neutral
layed teachers city near wonder thinking going jobfield,positive
may human kindness day,neutral
_wi_no_name nope printer library didnt work ill pass monday,negative
morning sunshine,neutral
lonely battle friend fought valiantly,negative
ive heard fall im waiting,neutral
mhmm idk thought showing freaking ppl hehebut yeah totally understand u guys vn sounds cool,positive
girlfriend still likes sesame st,neutral
awwwww im scifi geek starwars ten commandments us geeks,neutral
unpacking new toy arrived studio right called tc finalizer cant wait check sounds,positive
heart burn,neutral
want go walking still miss satan,neutral
hey chiclit whats happening trying promote business really hard,negative
got dark red hair dye going get bleach,negative
ahh retweet everything say,neutral
watched adaptation interiors women good movie night breakfast dad kelley morning,positive
httptwitpiccomvisl wow looks incredible wicked job butterflies theyre fantastic,positive
someone chemics,neutral
tongue cheek mentalitiesthere another one takes piss arabs long,negative
marrrrrrrrrry fun partying tonight drink wud come see,positive
romantic evening papa murphys battle bc history channel,neutral
ah finally home comfy bed goodnight,neutral
izzy sorry hear disaster,negative
sugar free gone stead grand good grand bit cheesy,positive
wow beautiful picture wayi straightjust wanted let know bella,positive
nope st time invited ssm graceful accepted,positive
god bless dear friend,neutral
good evening terri missed lately hope life good wonderful evening,positive
oh hope baad tell mya hope shes gets better soon,positive
poop shirt insanely cracked screen iphone daaaang,negative
morning,neutral
aroundtakin easy tonight bc im still sick,negative
really like miller park bad cubs arent leading hopefully get together soon,negative
definitely going sold f heavy think ill get away twedding,negative
psyching next daysoh,negative
feels like whenever lays hate heartburn backaches,negative
sun burned todaymy arms look angry party tonight tho babes woop,negative
sad dead,negative
back li hours ago n still made work yay,neutral
noghty night twitterific twitter tweeting pals,neutral
seriously dont like girls,negative
sad mom must shaken peace strength dear family lost little girl,negative
yeah sounds sensible thought heston bleumenthal moment genius somehow,positive
ahhhh cant find anything way much open,neutral
_craig_g hope enjoying moneyits looking real good right,positive
wakey wakey lemon shakeyyyy haha goin schooliooo raining ugh guess wish right nowcalifornia,positive
finallyy done done cleann layn time bed goshh oclock lol nite nite twitta heads,positive
time seek coffee caffein love affair mmmmm sweet hypergoodness,positive
picture makes thristy everyday,negative
wish could afford attend benefits,neutral
wondering anyone seen cell phone cant find anywhere,neutral
_eron effy breaks heart,neutral
jet blue okay guess cancel flights dont lot backup planes first class,positive
saying thisare ignoring frowns,neutral
feel like one gyms machines work rather,neutral
writing,neutral
blogging yet miss writing,neutral
congratulations test,neutral
somebody please save polar bears,negative
omg really ran wall,positive
saw baby dove fall tree break neck die tried save couldnt cruel world,negative
yeah thumb last night sorry,negative
sorry hear terrible news thinking x,negative
day long text conversation,negative
lmaaaooooo horrible poor thing,negative
took long napi feel like still asleep,negative
photo still havnøøωt hooked editing comp know guys miss artwork iøøωve decided httptumblrcomxehwetiq,neutral
star warz day reallythat hot topic manoh man im waiting star trek,positive
shower doctors appointment,neutral
omg id aint come back yet im sooo worried best bk next week il screamm lmao yeah u choose ur bday x,positive
joe loveee,neutral
figures starts raining freed work,neutral
sounds like muffler bearings going bad,negative
ew used get suicides mid school mix like sodas together drink think remember enjoying,positive
awsome know know know,neutral
omigoodness feel like popsicle,neutral
hella itchy httptwitpiccommf,neutral
explosion late eighties odd weather instead migrating wind blew back,negative
first night sleeping new home,positive
hey fellow trojancongrats graduation,neutral
oh man seen bgt news cool loved greg dancing weepy kid obnoxious imo,positive
_wockeez dont wan na miss showsyou guys kick sad saymy plane shop,negative
alphonso milkshake morning lassi afternoon fresh nimbupaani eveningsummers fun,positive
way homethen sleep seeing amber pacific tomorow besties,neutral
gon na able talk,positive
computer killed combo mirrors edge really poor win thermal managementc gpu one sad game,negative
realization today made sad least healing begin,negative
grateful amazing family blessed happy mothers day everyone,positive
hey sorry didnt see ur message,negative
water horse movie totally making want go scotland want water horse lol,positive
found tink cover wii remote people know dont wii fail,negative
follow please,neutral
money phone,neutral
haha sorry past bedtime,negative
going watch tv crazy night work tomorrow ill live somehow least means finish early,negative
im really thinking staying till tomorrow back philly nite wan na stay bad,negative
im ready tomorrows competition,negative
awesome saw added myspace could please tag photos thanks,positive
says ptour tom hello school httpplurkcompxfh,neutral
lol ive bk year going u havent come yet,positive
purrrrs ooooh,neutral
yes must much fun sxsw guys pj party room,positive
_ baby,neutral
finally get lay bit major headache,negative
playing windows rc,neutral
uploading photos ughhhh go school early tomorrow fml woo excursion win,positive
watching alias beginning approximately th time,negative
sore tummy,neutral
missing qualifying think david reutimann leading,negative
got home wanting read last chaper breaking dawn cause dont want beover,neutral
listening echo gorilla zoe ahh love song,positive
im books read movies watch n stuff buyim bored,negative
palm pre doesnt record video,neutral
hope feel better soon check cool backround profile,positive
anticipation making cup tea im agreeing must happen awesome,positive
good day work lots sales boss foot shes nice person dont like boss bugging,positive
steve aoki sorry may b nxt time,negative
bugger forgot still washing machine,neutral
bad rum experience college still havent recovered,negative
glad could make,positive
oh hate friday evening,negative
really twitter mood today dont know,negative
brain hurts,neutral
hi lyndon get pm monday may mail via tasmania dm,neutral
came house morning stink cat poo cats business little bit garden,negative
ugh hate bad grades st time ive ever failed class b b w like,negative
aw got orthodontist today,neutral
headache going away,neutral
last late late pat kenny bless,negative
toaster oven fault im going look like idiot front father,negative
thought going fun day,positive
might start spanishany min nownope cant,neutral
im ready homieactually ima working,positive
supposed unrelated storywise new part fallout series theyre working name,positive
said cant wear converse dress,neutral
_kimbalicious milk drink think thats whats making feel sick,negative
know right im superexcited told yall busiest time year,positive
liesboystell buzy week,neutral
dinnerbuffalo burger provolone cheese melted top beefsteak tomatoes spinach divine pic facebook come,positive
played okami hours today,neutral
_onfire think letitia still trying upload digital problems sure let us know,positive
another friday night cancel probably movies ashley,neutral
haha lacey shutdown livestream party time,positive
crazy live small world u live covina huh thas im back chino goooo,negative
chicago rocks socks,neutral
relaxing,neutral
happy mothers day mom,positive
cant cant cant im sad im venezuela,negative
really fancy frappuccino starbucks right,positive
_v haha boat yesterday youll pick time,positive
think info syncing properly mac mobile iphone yay finally,neutral
rang irish one drunk must confiscate phone hate lots,negative
sad cant go friends house,negative
doesnt sound like fun,positive
sometimes wish things could go back way beginning last summer,neutral
living alki without offstreet parking blows p parking wkds worst feel like hostage,negative
im sorry fail,negative
really chose wrong time year didnt,negative
sleep time biglittle lunch tomorrow olive garden,neutral
hate crowds httptrimmoni,negative
yes wrong wireless plan,negative
itl,neutral
got ta go twitterers stupid sister wants go facebook oging montreal morrow wont bye xoxox,negative
getting ready go sleeep grinding early morning yay money,positive
hate sick miss,negative
sorry delay publishing weeks show technical difficulties encoding asap may saturday,negative
crazy day today feeling going way tomorrow enjoy couple days though,negative
hubby staying one week uzbekistan,positive
stop following cool enough,negative
girls confusing,negative
happy great glowy ravey beery night smokey pizzary night cool friends love liz x,positive
oh dead muffins sad,negative
okay,positive
tokyo table,neutral
dreading going work butits friiiiiday whoop,neutral
_tv hope shatner didnøøωt address message philosophers weøøωre doomed stopped thinking,neutral
feels kinds well right,positive
ate chocolate,neutral
wish could really love u around ill see try use national champ pull lol,positive
sure fanciful expensive ones basic ones expensive try hr shopping place,negative
sorry dunners saw tweet totally let im sorry babe work till boooooo,negative
took guy thinks bluff three times row get away back showing work,neutral
omgness pm need beup early set garage sale starts wish said im beat,positive
ahhhhh well least im,negative
joined twitter hiya world,neutral
meeting time iøøωm trying win something prizes friday,positive
todays menu dont worry,neutral
oh man thats rough sounded like weekend went well get sleep,negative
jake thomas looks precious hate say see white light every ghost whisperer show,positive
awww thats cute,positive
sleeping wouldve home sooner accidentally killed bambi way home,negative
_meir ohhhh ouch dude got drunk last night didnt get context sorry dude,negative
oof perhaps time start moronmonday shoutout meme,neutral
trying straighten hair effing hot also need food,negative
wow one nicest patients ive ever hes deplyod falougairaq nweek,positive
oh antiboyle didnt work either never much bad thing eh uk eh,negative
thought rubbish twins cute tho,positive
poor poor mouth,negative
michelle slept hours last night im still stick fever,neutral
goin work,neutral
fast furious excellent movie andy great guy time lol,positive
well good morning wonderful day neighborhood thanks following another morning,positive
doesnt work iphone yet love simplicity need able sort tasks iphone useful,positive
httptwitpiccomwppn wild derby trndstrs,negative
rice crusty bread chili aawww,neutral
listing music putting finishing touches mothers day present cool part didnt cost thing,positive
_baffoon ooh youre computer making playlist come online pls im bored ive blocked everyone,negative
work depressing hell want someone fukin come holiday august,negative
america celebrates mothers day different day england anyhooohappy mothers day american mumzys x,neutral
sweet going publicly available,positive
ummnope anymoree,neutral
june gloom seems arrived early,negative
waiting foreigner start,neutral
sleep need go mums time get clara bed,neutral
sbs sbs damned damned dont fun times gch,positive
love flock ubuntu,positive
citibank thought gon na go grannys house,neutral
_nj oh im joined twitter days ago,negative
website httptinyurlcomcyojg idk place around ur area,neutral
butbutim,neutral
dont think sale ciroc staythats luck,neutral
awww omg garbo fake playing one songs haha,negative
thanks check next time im target hour away,positive
playing singstar without fave duetter,neutral
hahaha sa una lang yan started minutes ng k year ago,positive
dont undrstand malaysian busaysjust englishtagalog waray,neutral
going another fatty like hopefully ill see im cali days hes upset,negative
liking fake tan orange colour,negative
woot favourtie well second favourite episode came tow ross rachel know,neutral
botanical gardens beautiful forgot extra memory card pictures today,positive
downside though youre breaking thread,neutral
didnt get although religious thing think ill let one slip,neutral
ive heard fall im waiting,neutral
ughhh leg still cramping panic attack outside ulu morning bloody hurts,negative
possibly carpenters numbertopical,neutral
kl took wrong turn sg besi jam city center,negative
said good day dreaming sorry say country state,positive
nope going able finish tonight got things bed,positive
wow god whole ui sooo much snappier responsive tweetdeck tweets feel like ims lol,positive
see told im updating personal site lots goodies check come httpwwwdennisgomezcom,neutral
banged bloody foot ow,negative
downloading new fonts httpplurkcomprplkr,positive
aw latest selenagomezlast day shooting goodbye canada,positive
ahhh im sqeaky clean fresh even though im wearing dirty clothes love two half men amazing,positive
hello james,neutral
finallythe internet server phoenix,negative
alone home nice nice,positive
luv urs admitting niley kiss change minds haha demisterling jemi still cute,positive
happy mothers day moms,positive
anytime im cant match stamina nice warm comfy bed calling screaming namelol night ninja,positive
forgot twitter account happy mothers day,positive
ok album start listening frank black years found used play pixies,positive
well completely lame im sorry dude,negative
jane really sad probably wont get perfect tonights quiz without missing article shouldve asked someone,positive
use lbs tabby cat got north shore animal league diabetes,positive
funny want something even someone else cant anymore hahaha next,positive
threeday weekend starts gon na watch star trek opted go another night instead,neutral
love hair blowin wind,positive
gprof problem mac,neutral
work till,neutral
omg guys internet whole day still working ill try fix,positive
rains sucks much second day row,negative
whats matter chickadee,neutral
guilt trips feeling sick pressure stress much drama,negative
im bored work,negative
waitin man get home take waitin hours,neutral
_g ur poopy head,neutral
bugger forgot still washing machine,neutral
im fine alsoup way earlylolsoo r ur dogs kut def want pit lol,positive
holy kraut stay late book done authors box tucking kittyboys nightynight,negative
asked mum bout going tommorow laughed face lmao,positive
